Lambda,Idark(DI Lamp Off),Iblank (DI Lamp On),"Ikn (Nitrate = 45, Salinity = 33.885)","Izn (Zero Nitrate, Salinity= 36.052)","Ich (DI Water,  Salinity = 0 ,Nitrate = 45)","Its (Tank Water, first week sampled)", A(zn),A(kn),ESW(T1ZNTcal),ASW(T1ZNTis),ASW(T2KNTcal),ESW(T1ZNTis),ASE(TcalZN),,,,,,,,,S1(ZNcal),S2(KNcal),S(TS),T1(ZNcal),T2(KNcal),T(TS),S(Norm),Known NO3-
194.18,3378.125,3999.125,3695.625,3687.625,3811.25,3705,0.302430947,0.291347871,0.008081323,,,,,,,,,,,,,36.052,33.885,34,19.3,22,20,35,45
194.723,2577.5,3259.75,2892.625,2912.5,3019.5,2906.125,0.308898737,0.335460686,0.009304912,,,,,,,,,,,,,,,,,,,,
195.266,2614.75,3342.5,2956,2978.5,3085.875,2956.125,0.301179212,0.328909554,0.009123199,,,,,,,,,,,,,,,,,,,,
195.809,2634.875,3435,2930.875,2949.625,3134.5,2964.25,0.405192101,0.431866129,0.011978978,,,,,,,,,,,,,,,,,,,,
196.352,2601.5,3433.375,2919.375,2909,3081.5,2929.75,0.432212953,0.4178017,0.011588863,,,,,,,,,,,,,,,,,,,,
196.895,2605.5,3503.625,2954.625,2944,3142.25,2946.25,0.423778112,0.410355837,0.011382332,,,,,,,,,,,,,,,,,,,,
197.438,2551.375,3552.75,2893.25,2913.625,3081.875,2872.125,0.441588351,0.466729401,0.012946006,,,,,,,,,,,,,,,,,,,,
197.981,2620.875,3716.25,2953.875,2989.75,3191.625,2985.5,0.472683602,0.517118591,0.014343687,,,,,,,,,,,,,,,,,,,,
198.524,2568.25,3783.875,2942.375,2958.375,3213.5,2974,0.493595841,0.511782893,0.014195687,,,,,,,,,,,,,,,,,,,,
199.067,2641.125,3933.25,3002.125,3002.25,3280.5,3011.375,0.553646974,0.553797327,0.015361071,,,,,,,,,,,,,,,,,,,,
199.61,2559.125,3991.75,2933.625,2949.875,3231.375,2941.375,0.564233539,0.582680704,0.01616223,,,,,,,,,,,,,,,,,,,,
200.153,2642.375,4225.875,3004.5,3047.625,3405,3015,0.591895044,0.640759559,0.017773204,,,,,,,,,,,,,,,,,,,,
200.696,3192.25,4945.75,3600.875,3600.25,4023.375,3627.625,0.633245607,0.632580837,0.017546345,,,,,,,,,,,,,,,,,,,,
201.239,2660.25,4506.125,3065.5,3060.875,3549.625,3060.5,0.663464241,0.658479264,0.018264708,,,,,,,,,,,,,,,,,,,,
201.782,2581.125,4692.5,3000,3011.75,3518,3000.125,0.690466136,0.702480934,0.019485214,,,,,,,,,,,,,,,,,,,,
202.325,2628,4937.5,3054.375,3081.125,3710.125,3101.875,0.707299943,0.733726234,0.020351887,,,,,,,,,,,,,,,,,,,,
202.868,2634.125,5193.375,3082.875,3073.125,3763.25,3052.75,0.765648192,0.75610825,0.020972713,,,,,,,,,,,,,,,,,,,,
203.411,2653.625,5504.25,3113.875,3128.625,3885.875,3129.25,0.77824648,0.791946292,0.021966778,,,,,,,,,,,,,,,,,,,,
203.954,2577.5,5748.125,3075.25,3075.875,3955.375,3084.25,0.803588631,0.804133611,0.022304827,,,,,,,,,,,,,,,,,,,,
204.497,2615.125,6137.5,3169.125,3148.625,4116.125,3170.5,0.819701166,0.803325825,0.022282421,,,,,,,,,,,,,,,,,,,,
205.04,2563.875,6458.625,3143.875,3119.25,4276.625,3152.75,0.84589326,0.827051592,0.022940519,,,,,,,,,,,,,,,,,,,,
205.583,2643,6938.375,3218.125,3225.75,4531.375,3252.625,0.867518803,0.873238839,0.024221648,,,,,,,,,,,,,,,,,,,,
206.126,2596,7387,3202.875,3240.375,4639.625,3243.5,0.871287488,0.897326924,0.024889796,,,,,,,,,,,,,,,,,,,,
206.669,2637,7862.25,3269.125,3307.125,4890.375,3291,0.891951254,0.917304107,0.025443917,,,,,,,,,,,,,,,,,,,,
207.212,2622,8381.375,3297.75,3359.125,5127.5,3345.375,0.892834216,0.930589303,0.025812418,,,,,,,,,,,,,,,,,,,,
207.755,2655.875,8930.25,3411.875,3428.75,5402.75,3440,0.909461212,0.919048676,0.025492308,,,,,,,,,,,,,,,,,,,,
208.298,2626.125,9470.125,3415.625,3482.5,5621.75,3430.25,0.90264602,0.937957867,0.026016805,,,,,,,,,,,,,,,,,,,,
208.841,2912.5,10254.625,3777.5,3824.625,6180,3783.25,0.905767415,0.928805667,0.025762944,,,,,,,,,,,,,,,,,,,,
209.384,2628.375,10521.75,3543.375,3646.25,6180.125,3547.625,0.889568288,0.935841642,0.025958106,,,,,,,,,,,,,,,,,,,,
209.927,2649.25,11066.25,3686.25,3821,6510,3695.75,0.856322365,0.909378571,0.025224081,,,,,,,,,,,,,,,,,,,,
210.47,2615.75,11528.875,3738.625,3945.375,6720.25,3792.125,0.826300825,0.899698585,0.02495558,,,,,,,,,,,,,,,,,,,,
211.013,2675.125,12086.875,3976.75,4240.125,7087,4026,0.779156041,0.859184501,0.023831812,,,,,,,,,,,,,,,,,,,,
211.556,2617,12417.875,4069.5,4472.25,7317.75,4170.875,0.72286241,0.829148709,0.022998688,,,,,,,,,,,,,,,,,,,,
212.099,2647.25,12768.75,4233.875,4767.125,7566.875,4454.375,0.678934626,0.804770586,0.022322495,,,,,,,,,,,,,,,,,,,,
212.642,3025.125,13472.875,4871.75,5552.625,8262.75,5068.875,0.616331608,0.752644061,0.020876624,,,,,,,,,,,,,,,,,,,,
213.185,2607.25,13329.375,4714.5,5597.75,8049.875,4951.875,0.554537059,0.706564803,0.019598491,,,,,,,,,,,,,,,,,,,,
213.728,2609.875,13485.875,5012.375,6037.125,8291.625,5250.75,0.501523414,0.655805803,0.018190553,,,,,,,,,,,,,,,,,,,,
214.271,2652.125,13646.625,5379.75,6553.625,8533.375,5623.375,0.449943872,0.605390821,0.016792156,,,,,,,,,,,,,,,,,,,,
214.814,4128.25,15258.875,7255.75,8605.5,10239.375,7564.5,0.395508206,0.551322233,0.015292417,,,,,,,,,,,,,,,,,,,,
215.357,2625.25,13815.125,6048.125,7656.5,8900.25,6369.875,0.347149337,0.514434196,0.014269228,,,,,,,,,,,,,,,,,,,,
215.9,2632.375,13888.25,6446.25,8184.125,9089.125,6787.75,0.30694936,0.470012807,0.01303708,,,,,,,,,,,,,,,,,,,,
216.443,2676.5,13986,6844.5,8784.375,9306.125,7202.125,0.267553264,0.433515695,0.012024734,,,,,,,,,,,,,,,,,,,,
216.986,2655.125,13962.625,7209.625,9222.625,9433,7539.625,0.235966515,0.39492589,0.010954341,,,,,,,,,,,,,,,,,,,,
217.529,2746.875,14176.75,7756.875,9895.875,9767.625,8041.125,0.203796184,0.358203755,0.009935753,,,,,,,,,,,,,,,,,,,,
218.072,2621.375,14089.875,7962.25,10235.125,9828.875,8308.875,0.177908006,0.331894205,0.009205986,,,,,,,,,,,,,,,,,,,,
218.615,2652.25,14216.5,8423.25,10750.125,10078.375,8723,0.154746403,0.301866398,0.008373083,,,,,,,,,,,,,,,,,,,,
219.158,2604.875,14311.375,8827.25,11222.375,10309.5,9100.375,0.133045777,0.274470889,0.007613195,,,,,,,,,,,,,,,,,,,,
219.701,2811.625,14651.625,9437.75,11822.875,10755.625,9664.625,0.118566664,0.252092078,0.006992458,,,,,,,,,,,,,,,,,,,,
220.244,2636.375,14599.875,9637.625,12117.5,10845.375,9859.625,0.100998382,0.232682668,0.006454085,,,,,,,,,,,,,,,,,,,,
220.787,2704.625,14939.25,10217.5,12692.375,11319.625,10374.375,0.088122999,0.211784499,0.005874417,,,,,,,,,,,,,,,,,,,,
221.33,2614.875,15120.25,10609.5,13032,11564.5,10712,0.079348844,0.194298622,0.005389399,,,,,,,,,,,,,,,,,,,,
